Orden,Apellido,Freq1,Freq2,Freq3
26.170,LLISTO,99,159,..
26.171,MUGIKA,99,150,..
26.172,BRUMOS,99,146,..
26.173,ODRIA,99,141,..
26.174,MONGORT,99,139,..
26.175,TRECU,99,139,..
26.176,ANACABE,99,136,..
26.177,MESAUD,99,136,..
26.178,CAÑASVERAS,99,134,..
26.179,MASSUET,99,134,..
26.180,HUALLPA,99,128,..
26.181,CUADRIELLO,99,123,..
26.182,ORZANCO,99,123,..
26.183,ARENGA,99,122,..
26.184,CHAPI,99,120,..
26.185,TRAVEL,99,120,..
26.186,GRADIZ,99,118,..
26.187,VILLAÑO,99,117,..
26.188,CORCOLL,99,115,..
26.189,RUIZ DE AGUIRRE,99,115,..
26.190,URIAGUERECA,99,115,..
26.191,VIRACOCHA,99,114,..
26.192,ASTORQUIA,99,113,..
26.193,BARJACOBA,99,113,..
26.194,FARGUES,99,113,..
26.195,MIQUELARENA,99,113,..
26.196,JARAVA,99,112,..
26.197,VEA MURGUIA,99,112,..
26.198,SUQUET,99,111,..
26.199,TRAVEZ,99,111,..
26.200,USATORRE,99,111,..
26.201,REBOLLOSO,99,109,..
26.202,BEN MOHAMED,99,108,..
26.203,JARIEGO,99,108,..
26.204,SEGRERA,99,108,..
26.205,ANIES,99,107,..
26.206,ARQUED,99,107,..
26.207,ORTIZ DE MENDIVIL,99,107,..
26.208,UBILLUS,99,107,..
26.209,PARETA,99,106,..
26.210,CHUSHIG,99,105,12
26.211,BONIFAZ,99,105,..
26.212,MOTAS,99,105,..
26.213,FISICO,99,104,..
26.214,MARCIANES,99,103,..
26.215,MARTIN FONTECHA,99,103,..
26.216,TOURAL,99,102,..
26.217,LIGORRED,99,101,8
26.218,ARISTIN,99,101,..
26.219,CARDET,99,101,..
26.220,ESCUTE,99,101,..
26.221,QUINQUILLA,99,101,..
26.222,TIXE,99,101,..
26.223,ANDOLZ,99,100,..
26.224,BARADO,99,100,..
26.225,MITOGO,99,100,..
26.226,MIJAS,99,98,7
26.227,BARQUET,99,98,..
26.228,MILLAT,99,98,..
26.229,ESTRUEL,99,97,..
26.230,LEGRAN,99,97,..
26.231,LILAO,99,97,..
26.232,DELPON,99,96,..
26.233,GRACIANI,99,96,..
26.234,PEG,99,96,..
26.235,TRUCO,99,96,..
26.236,VIGUIN,99,96,..
26.237,LACON,99,95,7
26.238,ITURRICASTILLO,99,94,..
26.239,BECANA,99,93,..
26.240,ECHEITA,99,93,..
26.241,GIL DE PAREJA,99,93,..
26.242,VISPE,99,93,..
26.243,CARDELUS,99,91,..
26.244,YUNCAL,99,91,..
26.245,ANCELA,99,90,..
26.246,CALACO,99,90,..
26.247,REI,99,90,..
26.248,BUELE,99,89,..
26.249,GAMAYO,99,89,..
26.250,MUÑOZ DE ARENILLAS,99,89,..
26.251,MUÑOZ DE LA NAVA,99,89,..
26.252,BERDIAL,99,88,..
26.253,SERRULLA,99,88,..
26.254,AIXUT,99,87,..
26.255,BIENCINTO,99,87,..
26.256,EL BACHIR,99,87,..
26.257,MENDIONDO,99,87,..
26.258,NASCIMIENTO,99,87,..
26.259,SERRADO,99,87,..
26.260,GALIPIENZO,99,86,..
26.261,PUJADA,99,86,..
26.262,JIMENEZ DE ABERASTURI,99,85,..
26.263,PIÑAL,99,85,..
26.264,BULLA,99,84,..
26.265,LAMARIANO,99,84,..
26.266,LARRUZEA,99,83,..
26.267,BURCHES,99,82,..
26.268,FERNANDEZ MARCOS,99,82,..
26.269,LA OSA,99,82,..
26.270,LASPALAS,99,82,..
26.271,MANTARAS,99,82,..
26.272,POLES,99,82,..
26.273,SAN VALENTIN,99,82,..
26.274,CANDEIRA,99,81,..
26.275,RODILES,99,81,..
26.276,VIELSA,99,80,..
26.277,BOLONIO,99,79,..
26.278,HAUSMANN,99,78,..
26.279,MANDAYO,99,78,..
26.280,RISALDE,99,78,..
26.281,CASTERAS,99,77,..
26.282,HERNAZ,99,77,..
26.283,TRESPADERNE,99,77,..
26.284,MALLARIN,99,75,..
26.285,ALMENDROTE,99,74,..
26.286,BUYEMA,99,74,..
26.287,CONSOLA,99,73,..
26.288,GARCIA AREVALO,99,72,..
26.289,BERRUTI,99,70,..
26.290,TILVES,99,70,..
26.291,MAORTUA,99,69,..
26.292,ZAMAKONA,99,68,..
26.293,GRIGOROVA,99,65,6
26.294,PITA DA VEIGA,99,65,..
26.295,BRISO MONTIANO,99,64,..
26.296,FABER,99,63,..
26.297,LAYNA,99,62,5
26.298,GUANOTASIG,99,61,..
26.299,CLAUDEL,99,60,..
26.300,MATEOS DE LA HIGUERA,99,60,..
26.301,PUIGDERRAJOLS,99,58,..
26.302,BERASALUZE,99,57,..
26.303,KUNZ,99,57,..
26.304,MARTINEZ DE LAGOS,99,56,..
26.305,RUIZ CABELLO,99,56,..
26.306,EL MAYMOUNI,99,53,5
26.307,GARJON,99,52,..
26.308,SILVEN,99,52,..
26.309,ABDERRAMAN,99,50,..
26.310,OSAGIEDE,99,49,9
26.311,BEARD,99,48,..
26.312,EL AIDI,99,48,..
26.313,TRELIS,99,47,..
26.314,GUENNOUN,99,45,..
26.315,MEKKI,99,43,..
26.316,VELLA,99,43,..
26.317,EL MESAOUDI,99,39,..
26.318,MONTANARI,99,39,..
26.319,MOUJIB,99,39,..
26.320,BAIDI,99,35,..
26.321,OBASUYI,99,35,..
26.322,JANSSON,99,34,..
26.323,ZBAIR,99,34,..
26.324,GHOTRA,99,32,10
26.325,BERKANE,99,32,..
26.326,BARTH,99,31,..
26.327,IMASUEN,99,29,8
26.328,BEL HADJ,99,29,..
26.329,IKPONMWOSA,99,27,..
26.330,AL BAKALI,99,26,..
26.331,SAMMAR,99,26,..
26.332,DONOVAN,99,25,..
26.333,ABRAHAMYAN,99,23,..
26.334,LOVELL,99,23,..
26.335,ARORA,99,22,12
26.336,TOROK,99,22,..
26.337,BRETT,99,21,..
26.338,JANG,99,21,..
26.339,MERIMI,99,20,6
26.340,BOUSSETTA,99,19,..
26.341,OFORI,99,19,..
26.342,SCHENK,99,19,..
26.343,GAUTAM,99,17,..
26.344,O'LEARY,99,17,..
26.345,MARSDEN,99,15,..
26.346,REBROUB,99,14,5
26.347,CHABAN,99,13,..
26.348,KHARCHENKO,99,13,..
26.349,BURSUC,99,12,..
26.350,JADIANI,99,7,..
26.351,VALEANU,99,7,..
26.352,BOICU,99,5,..
26.353,BALASOIU,99,..,..
26.354,COTEA,99,..,..
26.355,ANDEME,98,338,..
26.356,DEL ANGEL,98,183,..
26.357,ILINCHETA,98,156,..
26.358,AZCUETA,98,143,..
26.359,FOMBONA,98,143,..
26.360,TRASERRA,98,143,..
26.361,DIRANZO,98,126,..
26.362,ERGUETA,98,122,..
26.363,SALIP,98,122,..
26.364,IGARZABAL,98,121,..
26.365,CASEDAS,98,120,..
26.366,DE MELLO,98,120,..
26.367,RAIGOSA,98,120,..
26.368,ALBOS,98,117,..
26.369,GIRONZA,98,117,..
26.370,PEÑAMARIA,98,116,..
26.371,DEL YERRO,98,115,..
26.372,CANDAMIO,98,113,..
26.373,PORTALATIN,98,113,..
26.374,CARROMERO,98,112,..
26.375,PORREDON,98,112,..
26.376,SASTRIQUES,98,112,..
26.377,ASCARZA,98,111,..
26.378,MOHAMED ALI,98,111,..
26.379,VALIEN,98,111,..
26.380,ASPIROZ,98,110,..
26.381,LLONGO,98,110,..
26.382,HERNAMPEREZ,98,109,..
26.383,SANTIZO,98,109,..
26.384,ULLASTRES,98,109,..
26.385,ZORRERO,98,109,..
26.386,RUMBAO,98,107,..
26.387,SALAVARRIA,98,106,..
26.388,DIAZ CHIRON,98,104,..
26.389,MOLIZ,98,104,..
26.390,BRUTAU,98,103,..
26.391,TRILLO FIGUEROA,98,103,..
26.392,LOPEZ DE ZUBIRIA,98,102,..
26.393,PILLCO,98,102,..
26.394,SANCHEZ VIZCAINO,98,102,..
26.395,BARAZON,98,101,..
26.396,GOLF,98,101,..
26.397,HUMARA,98,101,..
26.398,PEREZ DEL PULGAR,98,101,..
26.399,GUALLICHICO,98,100,..
26.400,JUMILLAS,98,100,..
26.401,PERNUDO,98,100,..
26.402,FULGUEIRA,98,98,..
26.403,INOCENTE,98,98,..
26.404,GIRAUT,98,97,..
26.405,MARTIN DE EUGENIO,98,97,..
26.406,NERIA,98,97,..
26.407,PAÑART,98,96,8
26.408,BAREÑO,98,96,..
26.409,GARRIDO LESTACHE,98,94,..
26.410,MARSELLA,98,93,..
26.411,BARQUIER,98,92,..
26.412,HENAR,98,92,..
26.413,CANDANO,98,91,..
26.414,ENSESA,98,91,..
26.415,JOANIQUET,98,91,..
26.416,LECO,98,90,..
26.417,PIULACHS,98,90,..
26.418,ALDAREGUIA,98,89,..
26.419,LACONCHA,98,89,..
26.420,SANCHEZ CHIQUITO,98,89,..
26.421,AURELIO,98,88,..
26.422,PALMERIN,98,88,..
26.423,PUYOLES,98,88,..
26.424,OGUIZA,98,86,..
26.425,SAN LAZARO,98,86,..
26.426,PELEJERO,98,85,..
26.427,MILLANO,98,84,..
26.428,MAZARRACIN,98,83,..
26.429,UCEIRA,98,83,..
26.430,YEDRO,98,83,..
26.431,RUIZ DE GARIBAY,98,82,..
26.432,ORUESAGASTI,98,81,..
26.433,SANFRANCISCO,98,81,..
26.434,RABINA,98,80,..
26.435,ROLIN,98,80,..
26.436,ALBAJAR,98,79,..
26.437,CLAPAROLS,98,79,..
26.438,BENAIM,98,77,..
26.439,DIAZ DE ARCAYA,98,76,..
26.440,HERRASTI,98,76,..
26.441,ALCHAPAR,98,75,..
26.442,ITURRICHA,98,75,..
26.443,ARTIZ,98,74,..
26.444,CARALPS,98,74,..
26.445,CESARI,98,74,..
26.446,CHICO DE GUZMAN,98,74,..
26.447,FROCHOSO,98,74,..
26.448,MATEAS,98,74,..
26.449,MUNDI,98,74,..
26.450,STUYCK,98,74,..
26.451,BASDEDIOS,98,73,..
26.452,JUELA,98,73,..
26.453,LADAGA,98,73,..
26.454,MUSEROS,98,73,..
26.455,COBLER,98,72,..
26.456,GIROS,98,72,..
26.457,NESPRAL,98,72,..
26.458,PENIZA,98,72,..
26.459,PORTALS,98,71,..
26.460,CHOLIZ,98,69,..
26.461,HEIS,98,69,..
26.462,SIME,98,69,..
26.463,AYGUADE,98,68,..
26.464,NAHON,98,68,..
26.465,MONDRIA,98,67,..
26.466,XARLES,98,67,..
26.467,GIL BERMEJO,98,66,..
26.468,DANVILA,98,64,..
26.469,LACLETA,98,63,..
26.470,ALVAREZ CASCOS,98,62,..
26.471,DE LEONARDO,98,60,..
26.472,JAHAN,98,60,..
26.473,LACROIX,98,57,..
26.474,PUIGGALI,98,57,..
26.475,BARONI,98,56,..
26.476,CAÑIGRAL,98,56,..
26.477,PAOLINI,98,56,..
26.478,SAMASA,98,55,17
26.479,URRIOS,98,55,..
26.480,ARJO,98,54,..
26.481,BEN SELLAM,98,54,..
26.482,BURRELL,98,53,..
26.483,AICHI,98,52,..
26.484,GUILANYA,98,52,..
26.485,HORMAETXE,98,50,..
26.486,GONZALEZ DE LENA,98,49,..
26.487,LEVIN,98,49,..
26.488,FERRERI,98,48,..
26.489,FINK,98,48,..
26.490,FERNANDEZ DE LA PRADILLA,98,46,..
26.491,FLORIS,98,45,..
26.492,NEDELCHEVA,98,43,..
26.493,CHALHI,98,42,..
26.494,JADDI,98,42,..
26.495,JAGER,98,40,..
26.496,KACIMI,98,40,..
26.497,EL JARROUDI,98,39,12
26.498,BOUKHBIZA,98,39,..
26.499,CHAER,98,39,..
26.500,AJAYI,98,37,..
26.501,AMRANE,98,37,..
